,Unnamed: 0,Unnamed: 0.1,Values,Date
240,241,241,12165.299805,2019-12-31
241,242,242,12195.25,2020-01-01
242,243,243,12191.349609,2020-01-02
243,244,244,11974.200195,2020-01-03
244,245,245,12005.349609,2020-01-06
245,246,246,11929.599609,2020-01-07
246,247,247,12132.549805,2020-01-08
247,248,248,12213.200195,2020-01-09
248,249,249,12285.799805,2020-01-10
249,250,250,12308.700195,2020-01-13
250,251,251,12278.75,2020-01-14
251,252,252,12315.799805,2020-01-15
252,253,253,12321.400391,2020-01-16
253,254,254,12216.900391,2020-01-17
254,255,255,12162.299805,2020-01-20
255,256,256,12087.900391,2020-01-21
256,257,257,12094.099609,2020-01-22
257,258,258,12149.650391,2020-01-23
258,259,259,12107.0,2020-01-24
259,260,260,12024.5,2020-01-27
260,261,261,12103.799805,2020-01-28
261,262,262,12010.599609,2020-01-29
262,263,263,11945.849609,2020-01-30
263,264,264,11614.5,2020-01-31
264,265,265,11783.400391,2020-02-03
265,266,266,11953.349609,2020-02-04
266,267,267,12084.650391,2020-02-05
267,268,268,12073.950195,2020-02-06
268,269,269,11990.75,2020-02-07
269,270,270,12099.0,2020-02-10
270,271,271,12144.299805,2020-02-11
271,272,272,12139.799805,2020-02-12
272,273,273,12091.200195,2020-02-13
273,274,274,12037.0,2020-02-14
274,275,275,11908.049805,2020-02-17
275,276,276,12042.099609,2020-02-18
276,277,277,12071.450195,2020-02-19
277,278,278,11813.400391,2020-02-20
278,279,279,11779.900391,2020-02-24
279,280,280,11639.599609,2020-02-25
280,281,281,11536.700195,2020-02-26
281,282,282,11175.049805,2020-02-27
282,283,283,11036.25,2020-02-28
283,284,284,11152.549805,2020-03-02
284,285,285,11082.150391,2020-03-03
285,286,286,11244.599609,2020-03-04
286,287,287,10827.400391,2020-03-05
287,288,288,10294.450195,2020-03-06
288,289,289,10334.0,2020-03-09
289,290,290,9508.0,2020-03-11
290,291,291,8555.150391,2020-03-12
291,292,292,9165.099609,2020-03-13
292,293,293,8915.599609,2020-03-16
293,294,294,8407.049805,2020-03-17
294,295,295,7832.549805,2020-03-18
295,296,296,8178.200195,2020-03-19
296,297,297,7583.600098000001,2020-03-20
297,298,298,7511.100098000001,2020-03-23
298,299,299,7714.75,2020-03-24
299,300,300,8304.900391,2020-03-25
300,301,301,8522.900391,2020-03-26
301,302,302,8244.0,2020-03-27
302,303,303,8358.0,2020-03-30
303,304,304,8198.349609,2020-03-31
304,305,305,8055.799805,2020-04-01
305,306,306,8360.950195,2020-04-03
306,307,307,8653.900391,2020-04-07
307,308,308,8904.549805,2020-04-08
308,309,309,8912.400391,2020-04-09
309,310,310,8874.099609,2020-04-13
310,311,311,8821.900391,2020-04-15
311,312,312,9091.349609,2020-04-16
312,313,313,9230.799805,2020-04-17
313,314,314,8909.400391,2020-04-20
314,315,315,8946.25,2020-04-21
315,316,316,9170.150391,2020-04-22
316,317,317,9141.299805,2020-04-23
317,318,318,9250.349609,2020-04-24
318,319,319,9260.0,2020-04-27
319,320,320,9392.349609,2020-04-28
320,321,321,9731.5,2020-04-29
321,322,322,9266.950195,2020-04-30
322,323,323,9190.75,2020-05-04
323,324,324,9116.5,2020-05-05
324,325,325,9175.900391,2020-05-06
325,326,326,9238.200195,2020-05-07
326,327,327,9219.950195,2020-05-08
327,328,328,9043.950195,2020-05-11
328,329,329,9351.099609,2020-05-12
329,330,330,9119.75,2020-05-13
330,331,331,9050.0,2020-05-14
331,332,332,8806.75,2020-05-15
332,333,333,8855.299805,2020-05-18
333,334,334,8875.349609,2020-05-19
334,335,335,9056.099609,2020-05-20
335,336,336,8968.549805,2020-05-21
336,337,337,8996.650391,2020-05-22
337,338,338,9004.25,2020-05-26
338,339,339,9336.5,2020-05-27
339,340,340,9376.900391,2020-05-28
340,341,341,9706.950195,2020-05-29
341,342,342,9824.049805,2020-06-01
342,343,343,10035.549805,2020-06-02
343,344,344,9944.25,2020-06-03
344,345,345,10040.75,2020-06-04
345,346,346,10120.25,2020-06-05
346,347,347,10021.450195,2020-06-08
347,348,348,10036.849609,2020-06-09
348,349,349,9885.049805,2020-06-10
