,Unnamed: 0,Unnamed: 0.1,Values,Date
147,147,147,10842.950195,2019-08-08
148,148,148,11062.799805,2019-08-09
149,149,149,10901.599609,2019-08-13
150,150,150,10935.599609,2019-08-14
151,151,151,10924.299805,2019-08-16
152,152,152,11037.849609,2019-08-19
153,153,153,10985.299805,2019-08-20
154,154,154,10906.650391,2019-08-21
155,155,155,10718.299805,2019-08-22
156,156,156,10637.150391,2019-08-23
157,157,157,10756.549805,2019-08-26
158,158,158,11049.5,2019-08-27
159,159,159,10987.650391,2019-08-28
160,160,160,10922.400391,2019-08-29
161,161,161,10874.799805,2019-08-30
162,162,162,10772.700195,2019-09-03
163,163,163,10746.349609,2019-09-04
164,164,164,10816.0,2019-09-05
165,165,165,10867.450195,2019-09-06
166,166,166,10889.799805,2019-09-09
167,167,167,11011.650391,2019-09-11
168,168,168,10964.950195,2019-09-12
169,169,169,10945.75,2019-09-13
170,170,170,10968.200195,2019-09-16
171,171,171,10796.5,2019-09-17
172,172,172,10804.849609,2019-09-18
173,173,173,10670.25,2019-09-19
174,174,174,10691.0,2019-09-20
175,175,175,11471.349609,2019-09-23
176,176,176,11539.200195,2019-09-24
177,177,177,11416.099609,2019-09-25
178,178,178,11466.349609,2019-09-26
179,179,179,11499.75,2019-09-27
180,180,180,11390.799805,2019-09-30
181,181,181,11247.900391,2019-10-01
182,182,182,11257.349609,2019-10-03
183,183,183,11158.349609,2019-10-04
184,184,184,11112.650391,2019-10-07
185,185,185,11090.150391,2019-10-09
186,186,186,11208.549805,2019-10-10
187,187,187,11189.400391,2019-10-11
188,188,188,11290.049805,2019-10-14
189,189,189,11342.099609,2019-10-15
190,190,190,11411.099609,2019-10-16
191,191,191,11439.650391,2019-10-17
192,192,192,11553.150391,2019-10-18
193,193,193,11573.650391,2019-10-22
194,194,194,11554.400391,2019-10-23
195,195,195,11534.650391,2019-10-24
196,196,196,11490.75,2019-10-25
197,198,198,11784.450195,2019-10-29
198,199,199,11855.099609,2019-10-30
199,200,200,11843.349609,2019-10-31
200,201,201,11905.349609,2019-11-01
201,202,202,11861.900391,2019-11-04
202,203,203,11850.25,2019-11-05
203,204,204,11946.849609,2019-11-06
204,205,205,11888.75,2019-11-07
205,206,206,11853.950195,2019-11-08
206,207,207,11823.200195,2019-11-11
207,208,208,11802.650391,2019-11-13
208,209,209,11879.25,2019-11-14
209,210,210,11867.599609,2019-11-15
210,211,211,11881.75,2019-11-18
211,212,212,11966.049805,2019-11-19
212,213,213,11956.900391,2019-11-20
213,214,214,11883.5,2019-11-21
214,215,215,11919.75,2019-11-22
215,216,216,12006.349609,2019-11-25
216,217,217,12055.150391,2019-11-26
217,218,218,12099.950195,2019-11-27
218,219,219,12017.400391,2019-11-28
219,220,220,12023.700195,2019-11-29
220,221,221,11956.400391,2019-12-02
221,222,222,11935.299805,2019-12-03
222,223,223,11998.75,2019-12-04
223,224,224,11888.849609,2019-12-05
224,225,225,11888.049805,2019-12-06
225,226,226,11844.700195,2019-12-09
226,227,227,11832.299805,2019-12-10
227,228,228,11934.0,2019-12-11
228,229,229,12023.599609,2019-12-12
229,230,230,12046.299805,2019-12-13
230,231,231,12070.349609,2019-12-16
231,232,232,12163.450195,2019-12-17
232,233,233,12191.150391,2019-12-18
233,234,234,12252.75,2019-12-19
234,235,235,12213.25,2019-12-20
235,236,236,12202.099609,2019-12-23
236,237,237,12118.849609,2019-12-24
237,238,238,12157.900391,2019-12-26
238,239,239,12213.799805,2019-12-27
239,240,240,12151.799805,2019-12-30
